TITLE = "DETCHEM_PBR V2.8"
VARIABLES =
              z,          T_gas,      T_surface,              P,            Tau,              u,            rho,           mdot,           vdot,           fdot,           Meff,          Power,      overall_U,           h_fs,        k_fsCH4,         k_fsO2,         k_fsH2,        k_fsH2O,         k_fsCO,        k_fsCO2,           k_rs,           k_rf,            k_r,            h_w,           XCH4,            XO2,            XH2,           XH2O,            XCO,           XCO2
  1.090495E-001,  5.311973E+002,  5.311973E+002,  1.003957E+005,  1.586527E-002,  8.935234E+000,  6.829267E-001,  3.067687E-003,  4.491970E-003,  1.021086E-001,  3.004338E-002,  2.825415E+001,  2.416377E+002,  5.370175E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.372123E-001,  2.372426E+000,  2.509638E+000,  3.538179E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.181655E-001,  5.471034E+002,  5.471034E+002,  1.002958E+005,  1.686994E-002,  9.211960E+000,  6.624117E-001,  3.067687E-003,  4.631087E-003,  1.021086E-001,  3.004338E-002,  7.592766E+001,  2.460575E+002,  5.493933E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.408953E-001,  2.405029E+000,  2.545924E+000,  3.609606E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.240985E-001,  5.571818E+002,  5.571818E+002,  1.002291E+005,  1.750791E-002,  9.387898E+000,  6.499975E-001,  3.067687E-003,  4.719536E-003,  1.021086E-001,  3.004338E-002,  4.879256E+001,  2.488341E+002,  5.571832E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.432075E-001,  2.425536E+000,  2.568743E+000,  3.654500E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.277334E-001,  5.632517E+002,  5.632517E+002,  1.001877E+005,  1.789292E-002,  9.494096E+000,  6.427268E-001,  3.067687E-003,  4.772924E-003,  1.021086E-001,  3.004338E-002,  2.965326E+001,  2.504974E+002,  5.618547E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.445916E-001,  2.437834E+000,  2.582425E+000,  3.681401E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.351096E-001,  5.753252E+002,  5.753252E+002,  1.001021E+005,  1.866127E-002,  9.705897E+000,  6.287013E-001,  3.067687E-003,  4.879402E-003,  1.021086E-001,  3.004338E-002,  5.916961E+001,  2.537940E+002,  5.711353E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.473412E-001,  2.462184E+000,  2.609525E+000,  3.734758E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.408097E-001,  5.844357E+002,  5.844357E+002,  1.000347E+005,  1.924375E-002,  9.866238E+000,  6.184840E-001,  3.067687E-003,  4.960010E-003,  1.021086E-001,  3.004338E-002,  4.511319E+001,  2.562676E+002,  5.781114E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.494047E-001,  2.480466E+000,  2.629870E+000,  3.774812E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.445800E-001,  5.903582E+002,  5.903582E+002,  9.998946E+004,  1.962387E-002,  9.970725E+000,  6.120027E-001,  3.067687E-003,  5.012538E-003,  1.021086E-001,  3.004338E-002,  2.956823E+001,  2.578686E+002,  5.826310E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.507395E-001,  2.492309E+000,  2.643049E+000,  3.800741E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.564003E-001,  6.083983E+002,  6.083983E+002,  9.984467E+004,  2.079065E-002,  1.029031E+001,  5.929958E-001,  3.067687E-003,  5.173201E-003,  1.021086E-001,  3.004338E-002,  8.998769E+001,  2.627114E+002,  5.963204E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.547702E-001,  2.528199E+000,  2.682969E+000,  3.879188E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.640665E-001,  6.196787E+002,  6.196787E+002,  9.974835E+004,  2.152844E-002,  1.049123E+001,  5.816394E-001,  3.067687E-003,  5.274207E-003,  1.021086E-001,  3.004338E-002,  5.720874E+001,  2.657360E+002,  6.049120E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.573041E-001,  2.550504E+000,  2.707808E+000,  3.928288E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.707231E-001,  6.292130E+002,  6.292130E+002,  9.966321E+004,  2.215782E-002,  1.066174E+001,  5.723370E-001,  3.067687E-003,  5.359930E-003,  1.021086E-001,  3.004338E-002,  4.879752E+001,  2.682834E+002,  6.121640E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.594409E-001,  2.569279E+000,  2.728720E+000,  3.969676E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
