z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
0.003002988,0.4993908,0,0.5006092,0,0,0,915.0118,915.0118,0
0.003703689,0.4993908,0,0.5006092,0,0,0,914.7173,914.7173,0
0.004404389,0.4993908,0,0.5006092,0,0,0,914.2301,914.0888,917.0752
0.00510509,0.4993908,0,0.5006092,0,0,0,913.6396,913.3443,916.4745
0.005805791,0.4993908,0,0.5006092,0,0,0,912.9519,912.5493,915.5468
0.006506491,0.4993908,0,0.5006092,0,0,0,912.2693,911.8377,914.3936
0.007207192,0.4993908,0,0.5006092,0,0,0,911.6542,911.2878,913.148
0.007907892,0.4993908,0,0.5006092,0,0,0,911.2091,911.0099,911.9197
0.008608593,0.4993908,0,0.5006092,0,0,0,910.8592,910.8849,910.7756
0.009309294,0.4993908,0,0.5006092,0,0,0,910.6044,910.8826,909.7458
0.01000999,0.4993908,0,0.5006092,0,0,0,910.4567,910.9753,908.8879
0.01071069,0.4993908,0,0.5006092,0,0,0,910.3766,911.091,908.189
0.0114114,0.4993908,0,0.5006092,0,0,0,910.3442,911.1845,907.6514
0.0121121,0.4993908,0,0.5006092,0,0,0,910.2288,911.0895,907.2345
0.0128128,0.4993908,0,0.5006092,0,0,0,910.1241,910.9544,906.8585
0.0135135,0.4993908,0,0.5006092,0,0,0,910.0143,910.7777,906.4376
0.0142142,0.4993908,0,0.5006092,0,0,0,909.9542,910.628,906.124
0.0149149,0.4993908,0,0.5006092,0,0,0,909.762,910.3154,906.8972
0.0156156,0.4993908,0,0.5006092,0,0,0,909.545,909.9973,907.2107
0.0163163,0.4993908,0,0.5006092,0,0,0,909.2771,909.5582,907.6874
0.017017,0.4993908,0,0.5006092,0,0,0,908.9879,909.3572,907.2453
0.0177177,0.4993908,0,0.5006092,0,0,0,908.6761,909.1971,906.6159
0.0184184,0.4993908,0,0.5006092,0,0,0,908.2497,909.1997,905.6648
