"arc_length","T"
0.4605,898.682
0.461,898.852
0.4615,899.023
0.462,899.193
0.4625,899.363
0.463,899.532
0.4635,899.7
0.464,899.868
0.4645,900.036
0.465,900.205
0.4655,900.371
0.466,900.537
0.4665,900.704
0.467,900.87
0.4675,901.036
0.468,901.2
0.4685,901.365
0.469,901.529
0.4695,901.693
0.47,901.857
0.4705,902.02
0.471,902.182
0.4715,902.344
0.472,902.506
0.4725,902.669
0.473,902.829
0.4735,902.989
0.474,903.15
0.4745,903.31
0.475,903.47
0.4755,903.629
0.476,903.787
0.4765,903.946
0.477,904.104
0.4775,904.263
0.478,904.419
0.4785,904.576
0.479,904.732
0.4795,904.889
0.48,905.045
0.4805,905.2
0.481,905.354
0.4815,905.509
0.482,905.664
0.4825,905.818
0.483,905.971
0.4835,906.124
0.484,906.277
0.4845,906.429
0.485,906.582
0.4855,906.733
0.486,906.884
0.4865,907.035
0.487,907.186
0.4875,907.337
0.488,907.486
0.4885,907.635
0.489,907.784
0.4895,907.933
0.49,908.082
0.4905,908.229
0.491,908.375
0.4915,908.522
0.492,908.669
0.4925,908.815
0.493,908.958
0.4935,909.1
0.494,909.242
0.4945,909.385
0.495,909.527
0.4955,909.654
0.496,909.782
0.4965,909.909
0.497,910.036
0.4975,910.163
0.498,910.221
0.4985,910.279
0.499,910.336
0.4995,910.394
0.5,910.451
